!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Africa,cons,325018.75
Asia,cons,4815893
Europe,cons,5861618.5
N_America,cons,5461864
Oceania,cons,254673.46875
S_America,cons,954639.25
ROW,cons,212337.14063
Africa,inv,90413.992188
Asia,inv,2391970.25
Europe,inv,1860296.375
N_America,inv,1343571.875
Oceania,inv,86267.492188
S_America,inv,261789.95313
ROW,inv,34725.472656
Africa,gov,75889.25
Asia,gov,913528
Europe,gov,1833052.25
N_America,gov,1265017.125
Oceania,gov,69247.9375
S_America,gov,179757.32813
ROW,gov,22753.287109
Africa,exp,130812.69531
Asia,exp,1660866.5
Europe,exp,2747221
N_America,exp,1043518.125
Oceania,exp,82968.953125
S_America,exp,193542.57813
ROW,exp,31651.535156
Africa,imp,-140838.25
Asia,imp,-1586862.625
Europe,imp,-2679899.75
N_America,imp,-1133927.25
Oceania,imp,-87855.96875
S_America,imp,-215323.5625
ROW,imp,-45874.90625
!Header: AG02, dimensions: REG*GDPSOURCE [7*3], description: GDPSRC = FACTINC + NETAXES + VDEP, GDP from the sources side
REG,GDPSOURCE,Value
Africa,fact,346212.03125
Asia,fact,6238760
Europe,fact,7780522.5
N_America,fact,6631595
Oceania,fact,323307.40625
S_America,fact,1104197
ROW,fact,210119.70313
Africa,tax,70324.429688
Asia,tax,858699.9375
Europe,tax,661733.5
N_America,tax,632855.125
Oceania,tax,32920.609375
S_America,tax,122209.76563
ROW,tax,25872.277344
Africa,depr,64759.972656
Asia,depr,1097935.5
Europe,depr,1180032.25
N_America,depr,715594.1875
Oceania,depr,49073.847656
S_America,depr,147998.79688
ROW,depr,19600.566406
!Header: AG03, dimensions: ENDW_COMM*PROD_COMM*REG [5*7*7], description: Sources of factor income (FACTINC) by sector - EVFA(j,r)
ENDW_COMM,PROD_COMM,REG,Value
Land,pdr,Africa,1044.4675293
UnskLab,pdr,Africa,6056.4350586
SkLab,pdr,Africa,48.883365631
Capital,pdr,Africa,1422.0640869
Land,wht,Africa,741.64923096
UnskLab,wht,Africa,3909.9077148
SkLab,wht,Africa,45.545368195
Capital,wht,Africa,1834.3255615
Land,gro,Africa,434.70330811
UnskLab,gro,Africa,2226.4833984
SkLab,gro,Africa,24.83924675
Capital,gro,Africa,1026.0919189
Land,others,Africa,3876.8894043
UnskLab,others,Africa,20267.806641
SkLab,others,Africa,187.95161438
Capital,others,Africa,7169.8491211
Land,osd,Africa,402.58340454
UnskLab,osd,Africa,2261.7785645
SkLab,osd,Africa,19.385124207
Capital,osd,Africa,623.94232178
Land,Intermediate,Africa,2042.4526367
UnskLab,Intermediate,Africa,134606.09375
SkLab,Intermediate,Africa,53191.855469
Capital,Intermediate,Africa,149617.45313
NatlRes,Intermediate,Africa,17888.5625
Land,pdr,Asia,41278.03125
UnskLab,pdr,Asia,58566.964844
SkLab,pdr,Asia,580.56616211
Capital,pdr,Asia,23426.939453
Land,wht,Asia,5836.8613281
UnskLab,wht,Asia,8285.265625
SkLab,wht,Asia,63.861057281
Capital,wht,Asia,3369.5019531
Land,gro,Asia,7148.1035156
UnskLab,gro,Asia,10017.447266
SkLab,gro,Asia,84.065605164
Capital,gro,Asia,3197.7150879
Land,others,Asia,64625.28125
UnskLab,others,Asia,95762.65625
SkLab,others,Asia,945.16119385
Capital,others,Asia,35914.351563
Land,osd,Asia,8715.6708984
UnskLab,osd,Asia,8546.6425781
SkLab,osd,Asia,37.119716644
Capital,osd,Asia,3397.4401855
Land,Intermediate,Asia,28611.195313
UnskLab,Intermediate,Asia,2380214.75
SkLab,Intermediate,Asia,1329658.375
Capital,Intermediate,Asia,3128668.5
NatlRes,Intermediate,Asia,89742.960938
Land,pdr,Europe,497.60293579
UnskLab,pdr,Europe,1098.5692139
SkLab,pdr,Europe,26.336294174
Capital,pdr,Europe,243.94824219
Land,wht,Europe,3362.2883301
UnskLab,wht,Europe,12090.745117
SkLab,wht,Europe,695.8671875
Capital,wht,Europe,3982.684082
Land,gro,Europe,3102.5131836
UnskLab,gro,Europe,11579.592773
SkLab,gro,Europe,675.44262695
Capital,gro,Europe,3655.6948242
Land,others,Europe,21042.634766
UnskLab,others,Europe,65759.578125
SkLab,others,Europe,3496.862793
Capital,others,Europe,20093.097656
Land,osd,Europe,1257.4475098
UnskLab,osd,Europe,4378.6137695
SkLab,osd,Europe,249.91004944
Capital,osd,Europe,1402.9061279
Land,Intermediate,Europe,17356.154297
UnskLab,Intermediate,Europe,3580549.25
SkLab,Intermediate,Europe,2208578
Capital,Intermediate,Europe,2939243.75
NatlRes,Intermediate,Europe,56135.132813
Land,pdr,N_America,207.41416931
UnskLab,pdr,N_America,277.79986572
SkLab,pdr,N_America,17.150150299
Capital,pdr,N_America,238.43563843
Land,wht,N_America,2005.8990479
UnskLab,wht,N_America,2914.3808594
SkLab,wht,N_America,215.67655945
Capital,wht,N_America,2921.9821777
Land,gro,N_America,8527.4052734
UnskLab,gro,N_America,11452.173828
SkLab,gro,N_America,747.35968018
Capital,gro,N_America,10205.470703
Land,others,N_America,13468.68457
UnskLab,others,N_America,18488.285156
