!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Africa,cons,375039.40625
Asia,cons,4548354
Europe,cons,5749659.5
N_America,cons,6128469
Oceania,cons,281776.5
S_America,cons,1101513.375
ROW,cons,192746.34375
Africa,inv,103077.00781
Asia,inv,2290705.75
Europe,inv,1793245.125
N_America,inv,1595393.5
Oceania,inv,99144.296875
S_America,inv,321469.46875
ROW,inv,43219.273438
Africa,gov,81925.242188
Asia,gov,893918.9375
Europe,gov,1714593.75
N_America,gov,1360260
Oceania,gov,77238.460938
S_America,gov,211355.375
ROW,gov,20544.089844
Africa,export,147487.40625
Asia,export,1801846.375
Europe,export,2909117.25
N_America,export,1222857.625
Oceania,export,89333.890625
S_America,export,210993.85938
ROW,export,27478.482422
Africa,imp,-155188.29688
Asia,imp,-1713287.75
Europe,imp,-2811358.75
N_America,imp,-1341573.375
Oceania,imp,-89582.351563
S_America,imp,-259205.98438
ROW,imp,-38917.722656
!Header: AG02, dimensions: REG*GDPSOURCE [7*3], description: GDPSRC = NETFACTINC + NETAXES + VDEP, GDP from the sources side
REG,GDPSOURCE,Value
Africa,fact,439269.90625
Asia,fact,5779144
Europe,fact,7210567
N_America,fact,8008393.5
Oceania,fact,362802.71875
S_America,fact,1303187.5
ROW,fact,202538.03125
Africa,tax,47676.738281
Asia,tax,1027244.6875
Europe,tax,1010659
N_America,tax,121322.77344
Oceania,tax,45759.09375
S_America,tax,113882.96094
ROW,tax,24508.939453
Africa,depr,65394.148438
Asia,depr,1015147.875
Europe,depr,1134029.5
N_America,depr,835690.375
Oceania,depr,49348.960938
S_America,depr,169055.60938
ROW,depr,18023.457031
!Header: AG03, dimensions: ENDW_COMM*PROD_COMM*REG [5*7*7], description: Sources of factor income (NETFACTINC + VDEP) by sector - EVFA(j,r)
ENDW_COMM,PROD_COMM,REG,Value
Land,pdr,Africa,737.81854248
UnSkLab,pdr,Africa,4326.6669922
SkLab,pdr,Africa,34.958732605
Capital,pdr,Africa,998.55938721
Land,wht,Africa,904.81903076
UnSkLab,wht,Africa,4603.449707
SkLab,wht,Africa,59.751789093
Capital,wht,Africa,2521.7041016
Land,gro,Africa,1035.3201904
UnSkLab,gro,Africa,5131.3041992
SkLab,gro,Africa,52.819290161
Capital,gro,Africa,2181.0854492
Land,osd,Africa,215.31916809
UnSkLab,osd,Africa,1130.49646
SkLab,osd,Africa,10.941090584
Capital,osd,Africa,411.63037109
Land,others,Africa,3676.7319336
UnSkLab,others,Africa,19032.316406
SkLab,others,Africa,184.64790344
Capital,others,Africa,7130.7685547
Land,Intermediate,Africa,2427.2141113
UnSkLab,Intermediate,Africa,174459.32813
SkLab,Intermediate,Africa,67481.65625
Capital,Intermediate,Africa,187355.875
NatlRes,Intermediate,Africa,18558.876953
Land,pdr,Asia,27658.324219
UnSkLab,pdr,Asia,34960.632813
SkLab,pdr,Asia,298.01522827
Capital,pdr,Asia,12615.710938
Land,wht,Asia,5348.6420898
UnSkLab,wht,Asia,7145.4838867
SkLab,wht,Asia,47.522499084
Capital,wht,Asia,2649.3681641
Land,gro,Asia,6894.8256836
UnSkLab,gro,Asia,9344.6953125
SkLab,gro,Asia,68.952430725
Capital,gro,Asia,2757.6665039
Land,osd,Asia,8814.1015625
UnSkLab,osd,Asia,9780.3496094
SkLab,osd,Asia,47.754932404
Capital,osd,Asia,3470.5019531
Land,others,Asia,59193.578125
UnSkLab,others,Asia,82871.039063
SkLab,others,Asia,731.21868896
Capital,others,Asia,27868.138672
Land,Intermediate,Asia,31651.257813
UnSkLab,Intermediate,Asia,2319075
SkLab,Intermediate,Asia,1253034.75
Capital,Intermediate,Asia,2806641.75
NatlRes,Intermediate,Asia,79607.125
Land,pdr,Europe,139.30389404
UnSkLab,pdr,Europe,516.59259033
SkLab,pdr,Europe,26.408391953
Capital,pdr,Europe,166.09233093
Land,wht,Europe,3526.6379395
UnSkLab,wht,Europe,9660.0966797
SkLab,wht,Europe,396.45513916
Capital,wht,Europe,3114.6086426
Land,gro,Europe,3458.2192383
UnSkLab,gro,Europe,9417.6611328
SkLab,gro,Europe,374.67660522
Capital,gro,Europe,2960.5053711
Land,osd,Europe,1051.6223145
UnSkLab,osd,Europe,4498.1938477
SkLab,osd,Europe,271.78485107
Capital,osd,Europe,1525.8464355
Land,others,Europe,17090.5625
UnSkLab,others,Europe,60755.050781
SkLab,others,Europe,3014.3959961
Capital,others,Europe,20897.697266
Land,Intermediate,Europe,12533.6875
UnSkLab,Intermediate,Europe,2698140.5
SkLab,Intermediate,Europe,1778833.125
Capital,Intermediate,Europe,3621788.75
NatlRes,Intermediate,Europe,47391.589844
Land,pdr,N_America,283.9074707
UnSkLab,pdr,N_America,379.53005981
SkLab,pdr,N_America,23.761047363
Capital,pdr,N_America,328.40585327
Land,wht,N_America,2280.3068848
UnSkLab,wht,N_America,3245.2685547
SkLab,wht,N_America,234.92024231
Capital,wht,N_America,3179.3701172
Land,gro,N_America,8330.3408203
UnSkLab,gro,N_America,11388.290039
SkLab,gro,N_America,697.79211426
Capital,gro,N_America,9827.9619141
Land,osd,N_America,3589.6420898
UnSkLab,osd,N_America,4859.9609375
SkLab,osd,N_America,371.8348999
Capital,osd,N_America,4839.1679688
Land,others,N_America,15125.918945
UnSkLab,others,N_America,20935.050781
SkLab,others,N_America,1213.329834
Capital,others,N_America,17552.636719
Land,Intermediate,N_America,8614.2929688
UnSkLab,Intermediate,N_America,3137545.5
SkLab,Intermediate,N_America,2155528.5
Capital,Intermediate,N_America,3372301.75
NatlRes,Intermediate,N_America,39438.40625
Land,pdr,Oceania,24.130832672
UnSkLab,pdr,Oceania,55.67445755
SkLab,pdr,Oceania,3.0488348007
Capital,pdr,Oceania,32.19726944
Land,wht,Oceania,327.12374878
UnSkLab,wht,Oceania,789.97857666
SkLab,wht,Oceania,41.763977051
Capital,wht,Oceania,443.2696228
Land,gro,Oceania,173.42333984
UnSkLab,gro,Oceania,417.75604248
SkLab,gro,Oceania,22.12812233
Capital,gro,Oceania,234.79554749
Land,osd,Oceania,23.66573143
UnSkLab,osd,Oceania,57.695625305
SkLab,osd,Oceania,3.0281057358
Capital,osd,Oceania,32.17332077
Land,others,Oceania,1077.3908691
UnSkLab,others,Oceania,2649.6477051
SkLab,others,Oceania,138.13874817
Capital,others,Oceania,1469.1433105
Land,Intermediate,Oceania,1446.8780518
UnSkLab,Intermediate,Oceania,125626.34375
SkLab,Intermediate,Oceania,89636.765625
Capital,Intermediate,Oceania,181761.71875
NatlRes,Intermediate,Oceania,5412.2397461
Land,pdr,S_America,1060.3731689
UnSkLab,pdr,S_America,1648.4857178
SkLab,pdr,S_America,40.819564819
Capital,pdr,S_America,2396.4714355
Land,wht,S_America,1607.5557861
UnSkLab,wht,S_America,2577.4436035
SkLab,wht,S_America,65.366676331
Capital,wht,S_America,2324.7092285
Land,gro,S_America,1926.7073975
