!Header: AG01, dimensions: REG*GDPEXPEND [6*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Africa,cons,363359.28125
Asia,cons,4552997
Europe,cons,5457338
N_America,cons,7776856.5
Oceania,cons,253149.23438
S_America,cons,927211
Africa,inv,108800.85938
Asia,inv,2118119.25
Europe,inv,1901078
N_America,inv,2257898.75
Oceania,inv,90877.421875
S_America,inv,265368.125
Africa,gov,86039.75
Asia,gov,1261563
Europe,gov,1843537.25
N_America,gov,1733732.25
Oceania,gov,75703.117188
S_America,gov,204973.14063
Africa,export,170230.29688
Asia,export,2129690.75
Europe,export,3150866.5
N_America,export,1345760.125
Oceania,export,98099.015625
S_America,export,250024.34375
Africa,imp,-170668.65625
Asia,imp,-1835338.625
Europe,imp,-3078532.75
N_America,imp,-1696257.75
Oceania,imp,-96063.835938
S_America,imp,-267809.03125
!Header: AG02, dimensions: REG*GDPSOURCE [6*3], description: GDPSRC = NETFACTINC + NETAXES + VDEP, GDP from the sources side
REG,GDPSOURCE,Value
Africa,fact,368924.5
Asia,fact,5174074.5
Europe,fact,4788819
N_America,fact,7552871
Oceania,fact,255319.6875
S_America,fact,902447.9375
Africa,tax,122240.66406
Asia,tax,2052373.625
Europe,tax,3394896.25
N_America,tax,2819563.25
Oceania,tax,122220.77344
S_America,tax,334786.3125
Africa,depr,66596.40625
Asia,depr,1000582.9375
Europe,depr,1090571.75
N_America,depr,1045554.75
Oceania,depr,44224.441406
S_America,depr,142533.23438
!Header: AG03, dimensions: ENDW_COMM*PROD_COMM*REG [5*7*6], description: Sources of factor income (NETFACTINC + VDEP) by sector - EVFA(j,r)
ENDW_COMM,PROD_COMM,REG,Value
Land,pdr,Africa,440.75457764
UnSkLab,pdr,Africa,2544.6618652
SkLab,pdr,Africa,23.958093643
Capital,pdr,Africa,606.65802002
Land,wht,Africa,683.68695068
UnSkLab,wht,Africa,3451.5212402
SkLab,wht,Africa,44.720439911
Capital,wht,Africa,1905.8508301
Land,gro,Africa,1030.8438721
UnSkLab,gro,Africa,5161.2475586
SkLab,gro,Africa,53.159191132
Capital,gro,Africa,1995.126709
Land,osd,Africa,179.81161499
UnSkLab,osd,Africa,921.91705322
SkLab,osd,Africa,9.4354200363
Capital,osd,Africa,336.85717773
Land,others,Africa,4325.9658203
UnSkLab,others,Africa,22223.701172
SkLab,others,Africa,243.38835144
Capital,others,Africa,8996.0380859
Land,Intermediate,Africa,2280.3967285
UnSkLab,Intermediate,Africa,157878.60938
SkLab,Intermediate,Africa,68828.140625
Capital,Intermediate,Africa,202438.6875
NatRes,Intermediate,Africa,19341.025391
Land,pdr,Asia,22276.107422
UnSkLab,pdr,Asia,29674.279297
SkLab,pdr,Asia,279.32766724
Capital,pdr,Asia,10511.657227
Land,wht,Asia,6770.0629883
UnSkLab,wht,Asia,8474.4990234
SkLab,wht,Asia,64.290473938
Capital,wht,Asia,2947.9453125
Land,gro,Asia,4307.7719727
UnSkLab,gro,Asia,5954.1611328
SkLab,gro,Asia,54.90272522
Capital,gro,Asia,1587.0943604
Land,osd,Asia,9004.2382813
UnSkLab,osd,Asia,9965.4550781
SkLab,osd,Asia,50.516674042
Capital,osd,Asia,3749.9995117
Land,others,Asia,77608.523438
UnSkLab,others,Asia,119463.82813
SkLab,others,Asia,1123.4545898
Capital,others,Asia,39600.332031
Land,Intermediate,Asia,36992.203125
