!Header: VOA , dimensions: NSAV_COMM*REG [12*7], description: Value of commodity i output in region r
NSAV_COMM,REG,Value
Land,Africa,11116.072266
UnSkLab,Africa,217675.23438
SkLab,Africa,84457.804688
Capital,Africa,306034.28125
NatRes,Africa,32261.148438
pdr,Africa,5885.640625
wht,Africa,9056.5996094
gro,Africa,19866.634766
osd,Africa,8055.6191406
others,Africa,80802.773438
Intermediate,Africa,1430075.75
CGDS,Africa,155336.60938
Land,Asia,170845.67188
UnSkLab,Asia,2682854.25
SkLab,Asia,1274248.125
Capital,Asia,4047067.25
NatRes,Asia,149908.48438
pdr,Asia,80713.390625
wht,Asia,32138.046875
gro,Asia,23960.476563
osd,Asia,32569.669922
others,Asia,343504.59375
Intermediate,Asia,21597112
CGDS,Asia,2794699.25
Land,Europe,81628.5
UnSkLab,Europe,2352017
SkLab,Europe,1640223.5
Capital,Europe,5094979
NatRes,Europe,69274.523438
pdr,Europe,1440.2668457
wht,Europe,32518.273438
gro,Europe,34457.570313
osd,Europe,22731.050781
others,Europe,222107.71875
Intermediate,Europe,27132388
CGDS,Europe,3015839.25
Land,N_America,37143.601563
UnSkLab,N_America,3434498.5
SkLab,N_America,2582924.75
Capital,N_America,3368208.25
NatRes,N_America,52907.035156
pdr,N_America,1721.8210449
wht,N_America,11688.113281
gro,N_America,32426.455078
osd,N_America,20565.025391
others,N_America,101396.23438
Intermediate,N_America,23155164
CGDS,N_America,2585245.75
Land,Oceania,4100.3642578
UnSkLab,Oceania,179205.875
SkLab,Oceania,122555.4375
Capital,Oceania,199652.57813
NatRes,Oceania,7429.6137695
pdr,Oceania,59.739715576
wht,Oceania,3110.362793
gro,Oceania,1217.3129883
osd,Oceania,1292.1958008
others,Oceania,11541.138672
Intermediate,Oceania,1404904.75
CGDS,Oceania,186377.78125
Land,S_America,18983.005859
UnSkLab,S_America,404006
SkLab,S_America,192376.85938
Capital,S_America,563031.1875
NatRes,S_America,24848.228516
pdr,S_America,4450.6899414
wht,S_America,5521.140625
gro,S_America,11655.720703
osd,S_America,20593.205078
others,S_America,63452.261719
Intermediate,S_America,2616719.5
CGDS,S_America,273275.09375
Land,ROW,0.23347516358
UnSkLab,ROW,13.971215248
SkLab,ROW,7.8558545113
Capital,ROW,33.531303406
NatRes,ROW,0.8672990799
pdr,ROW,0.028111185879
wht,ROW,0.066465362906
gro,ROW,0.094336628914
osd,ROW,0.10009934008
others,ROW,1.2568559647
Intermediate,ROW,169.54754639
CGDS,ROW,21.574226379
!Header: VOM , dimensions: NSAV_COMM*REG [12*7], description: Value of commodity i output in region r at market prices
NSAV_COMM,REG,Value
Land,Africa,12131.426758
UnSkLab,Africa,253242.23438
SkLab,Africa,98928.9375
Capital,Africa,345746.46875
NatRes,Africa,37780.492188
pdr,Africa,5884.9448242
wht,Africa,9214.7558594
gro,Africa,19849.898438
osd,Africa,8035.7963867
others,Africa,81260.203125
Intermediate,Africa,1448233
CGDS,Africa,155336.60938
Land,Asia,177771.09375
UnSkLab,Asia,2943683
SkLab,Asia,1420043.875
Capital,Asia,4305003
NatRes,Asia,156096.14063
pdr,Asia,79583.289063
wht,Asia,28465.042969
gro,Asia,23775.140625
osd,Asia,32119.8125
others,Asia,340385.6875
Intermediate,Asia,21880842
CGDS,Asia,2794699.25
Land,Europe,87320.007813
UnSkLab,Europe,3168213
SkLab,Europe,2217788.5
Capital,Europe,5472931.5
NatRes,Europe,74545.34375
pdr,Europe,1425.1186523
wht,Europe,32521.761719
gro,Europe,34454.367188
osd,Europe,19250.261719
others,Europe,219418.84375
Intermediate,Europe,27751884
CGDS,Europe,3015839.25
Land,N_America,40524.777344
UnSkLab,N_America,4339249
SkLab,N_America,3268467.25
Capital,N_America,3674095.25
NatRes,N_America,57651.246094
pdr,N_America,1594.1644287
wht,N_America,11588.888672
gro,N_America,29400.105469
osd,N_America,20273.451172
others,N_America,99007.664063
Intermediate,N_America,23714352
CGDS,N_America,2585245.75
Land,Oceania,4730.8203125
UnSkLab,Oceania,233698.10938
SkLab,Oceania,159356.76563
Capital,Oceania,230273.07813
NatRes,Oceania,8594.1318359
pdr,Oceania,59.713554382
wht,Oceania,3110.3474121
gro,Oceania,1217.3029785
osd,Oceania,1292.182373
others,Oceania,11541.017578
Intermediate,Oceania,1431396.75
CGDS,Oceania,186377.78125
Land,S_America,20423.064453
UnSkLab,S_America,419707.625
SkLab,S_America,199829.60938
Capital,S_America,612781.5
NatRes,S_America,26886.830078
pdr,S_America,4460.7109375
wht,S_America,5597.8183594
gro,S_America,11737.529297
osd,S_America,20969.191406
others,S_America,63793.691406
Intermediate,S_America,2643814.25
CGDS,S_America,273275.09375
Land,ROW,0.24939653277
UnSkLab,ROW,18.830957413
SkLab,ROW,10.588443756
Capital,ROW,35.817905426
NatRes,ROW,0.92644286156
pdr,ROW,0.028100395575
wht,ROW,0.066458150744
gro,ROW,0.094375222921
osd,ROW,0.10005477816
others,ROW,1.2567464113
Intermediate,ROW,171.71116638
CGDS,ROW,21.574226379
!Header: PTAX, dimensions: NSAV_COMM*REG [12*7], description: output tax on good i in region r
NSAV_COMM,REG,Value
Land,Africa,1015.3544922
UnSkLab,Africa,35567
SkLab,Africa,14471.132813
Capital,Africa,39712.1875
NatRes,Africa,5519.34375
pdr,Africa,-0.69580078125
wht,Africa,158.15625
gro,Africa,-16.736328125
osd,Africa,-19.822753906
others,Africa,457.4296875
Intermediate,Africa,18157.25
Land,Asia,6925.421875
UnSkLab,Asia,260828.75
SkLab,Asia,145795.75
Capital,Asia,257935.75
NatRes,Asia,6187.65625
pdr,Asia,-1130.1015625
wht,Asia,-3673.0039063
gro,Asia,-185.3359375
osd,Asia,-449.85742188
others,Asia,-3118.90625
Intermediate,Asia,283730
Land,Europe,5691.5078125
UnSkLab,Europe,816196
SkLab,Europe,577565
Capital,Europe,377952.5
NatRes,Europe,5270.8203125
pdr,Europe,-15.148193359
wht,Europe,3.48828125
gro,Europe,-3.203125
osd,Europe,-3480.7890625
others,Europe,-2688.875
Intermediate,Europe,619496
Land,N_America,3381.1757813
UnSkLab,N_America,904750.5
SkLab,N_America,685542.5
Capital,N_America,305887
NatRes,N_America,4744.2109375
pdr,N_America,-127.65661621
wht,N_America,-99.224609375
gro,N_America,-3026.3496094
osd,N_America,-291.57421875
others,N_America,-2388.5703125
Intermediate,N_America,559188
Land,Oceania,630.45605469
UnSkLab,Oceania,54492.234375
SkLab,Oceania,36801.328125
Capital,Oceania,30620.5
NatRes,Oceania,1164.5180664
pdr,Oceania,-0.026161193848
wht,Oceania,-0.015380859375
gro,Oceania,-0.010009765625
osd,Oceania,-0.013427734375
others,Oceania,-0.12109375
Intermediate,Oceania,26492
Land,S_America,1440.0585938
UnSkLab,S_America,15701.625
SkLab,S_America,7452.75
Capital,S_America,49750.3125
NatRes,S_America,2038.6015625
pdr,S_America,10.020996094
wht,S_America,76.677734375
gro,S_America,81.80859375
osd,S_America,375.98632813
others,S_America,341.4296875
Intermediate,S_America,27094.75
Land,ROW,0.015921369195
UnSkLab,ROW,4.8597421646
SkLab,ROW,2.7325892448
Capital,ROW,2.2866020203
NatRes,ROW,0.059143781662
pdr,ROW,-1.07903033494949E-0005
wht,ROW,-7.21216201782227E-0006
gro,ROW,3.85940074920654E-0005
osd,ROW,-4.45619225502014E-0005
others,ROW,-1.09553337097168E-0004
Intermediate,ROW,2.1636199951
!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Africa,cons,531070.125
Asia,cons,5583205.5
Europe,cons,8939444
N_America,cons,9392751
Oceania,cons,437625.09375
S_America,cons,978385.1875
ROW,cons,52.794536591
Africa,inv,155336.60938
Asia,inv,2794699.25
Europe,inv,3015839.25
N_America,inv,2585245.75
Oceania,inv,186377.78125
S_America,inv,273275.09375
ROW,inv,21.574226379
Africa,gov,130107.76563
Asia,gov,1612250.75
Europe,gov,3075842.75
N_America,gov,2147586.25
