# File: iso_GCAM_regID.csv,,,,,,
# Title: ISO to GCAM region mapping,,,,,,
# Units: NA,,,,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,,,,
# Column types: ccci ,,,,,,
# ----------,,,,,,
iso,country_name,region_GCAM3,GCAM_region_ID,GCAM_region,region,REG_continent
abw,Aruba,Latin America,9,Central America and Caribbean,C.Amer.,S. America
afg,Afghanistan,Southeast Asia,27,South Asia,S.Asia,Asia
ago,Angola,Africa,4,Africa_Southern,S.AFR,Africa
aia,Anguilla,Latin America,9,Central America and Caribbean,C.Amer.,S. America
alb,Albania,Eastern Europe,15,Europe_Non_EU,NEU,Europe
and,Andorra,Western Europe,13,EU-15,EU15,Europe
ant,Netherlands Antilles,Latin America,9,Central America and Caribbean,C.Amer.,S. America
are,United Arab Emirates,Middle East,21,Middle East,Middle East,Asia
arg,Argentina,Latin America,31,Argentina,Argentina,S. America
arm,Armenia,Former Soviet Union,10,Central Asia,C.Asia,Asia
asm,American Samoa,Southeast Asia,29,Southeast Asia,S.E.Asia,Asia
atg,Antigua & Barbuda,Latin America,9,Central America and Caribbean,C.Amer.,S. America
aus,Australia,Australia_NZ,6,Australia_NZ,Australia,Oceania
aut,Austria,Western Europe,13,EU-15,EU15,Europe
aze,Azerbaijan,Former Soviet Union,10,Central Asia,C.Asia,Asia
bdi,Burundi,Africa,2,Africa_Eastern,E.AFR,Africa
bel,Belgium,Western Europe,13,EU-15,EU15,Europe
ben,Benin,Africa,5,Africa_Western,W.AFR,Africa
bfa,Burkina Faso,Africa,5,Africa_Western,W.AFR,Africa
bgd,Bangladesh,Southeast Asia,27,South Asia,S.Asia,Asia
bgr,Bulgaria,Eastern Europe,12,EU-12,EU12,Europe
bhr,Bahrain,Middle East,21,Middle East,Middle East,Asia
bhs,Bahamas,Latin America,9,Central America and Caribbean,C.Amer.,S. America
bih,Bosnia and Herzegovina,Eastern Europe,15,Europe_Non_EU,NEU,Europe
blr,Belarus,Former Soviet Union,14,Europe_Eastern,E.EUP,Europe
blz,Belize,Latin America,9,Central America and Caribbean,C.Amer.,S. America
bmu,Bermuda,Western Europe,9,Central America and Caribbean,C.Amer.,S. America
bol,Bolivia,Latin America,26,South America_Southern,S.S.Amer.,S. America
bra,Brazil,Latin America,7,Brazil,Brazil,S. America
brb,Barbados,Latin America,9,Central America and Caribbean,C.Amer.,S. America
brn,Brunei Darussalam,Southeast Asia,29,Southeast Asia,S.E.Asia,Asia
btn,Bhutan,Southeast Asia,27,South Asia,S.Asia,Asia
bwa,Botswana,Africa,4,Africa_Southern,S.AFR,Africa
caf,Central African Republic,Africa,5,Africa_Western,W.AFR,Africa
can,Canada,Canada,8,Canada,Canada,N. America
cck,Cocos (Keeling) Islands,Southeast Asia,29,Southeast Asia,S.E.Asia,Asia
che,Switzerland,Western Europe,16,European Free Trade Association,EUP.FTA,Europe
chi,Channel Islands,Western Europe,13,EU-15,EU15,Europe
chl,Chile,Latin America,26,South America_Southern,S.S.Amer.,S. America
chn,China,China,11,China,China,Asia
civ,Cote dIvoire,Africa,5,Africa_Western,W.AFR,Africa
cmr,Cameroon,Africa,5,Africa_Western,W.AFR,Africa
cod,"Congo, the Democratic Republic of the",Africa,5,Africa_Western,W.AFR,Africa
cog,Congo,Africa,5,Africa_Western,W.AFR,Africa
cok,Cook Islands,Australia_NZ,29,Southeast Asia,S.E.Asia,Asia
col,Colombia,Latin America,32,Colombia,Colombia,S. America
com,Comoros,Africa,2,Africa_Eastern,E.AFR,Africa
cpv,Cape Verde,Africa,5,Africa_Western,W.AFR,Africa
cri,Costa Rica,Latin America,9,Central America and Caribbean,C.Amer.,S. America
cub,Cuba,Latin America,9,Central America and Caribbean,C.Amer.,S. America
