"","reg.imp","reg.exp","crop","variable","1995","2000","2005","2010","2015"
"1","Africa","Oceania","Rapeseed","trade",0,0.0048,0.053,0.0294,0.1912
"2","Africa","Oceania","Soybeans","trade",0,1.6518,0.0086,0,0.003
"3","Asia","Africa","Rapeseed","trade",0,0.018,0.0672,3.3762,0.036
"4","N. America","Oceania","Soybeans","trade",0,0.0186,0.0026,0,0
"5","Oceania","Africa","Rapeseed","trade",0,0.004,0,0,0
"6","Oceania","Africa","Rice","trade",0,0.0072,0.1858,0.0648,0.0288
"7","Oceania","Africa","Soybeans","trade",0,0,0,0,0
"8","Oceania","Asia","Rapeseed","trade",0,0,0.0024,0,0.0374
"9","Oceania","Europe","Soybeans","trade",0,2e-04,8e-04,2e-04,2e-04
"10","Oceania","S. America","Rapeseed","trade",0,0,0,0.062,0.0434
"11","Oceania","S. America","Soybeans","trade",0,0,1.9102,0.0176,0
"12","S. America","Africa","Rapeseed","trade",0,0,0.0038,0,0
"13","S. America","Oceania","Soybeans","trade",0,0.0042,0,4e-04,0
