"","term","df","sumsq","meansq","statistic","p.value","weight","scenario","variable"
"1","crop",5,39997694.6841509,7999538.93683019,207.223369367984,3.26675595315947e-139,"sqroot","none","consumption"
"2","year",3,596374.100577958,198791.366859319,5.1495738900895,0.00157471126234785,"sqroot","none","consumption"
"3","interaction(reg.imp, reg.exp)",35,166372272.732497,4753493.50664277,123.136464300487,4.66766296014604e-286,"sqroot","none","consumption"
"4","Residuals",759,29300025.7237985,38603.4594516449,NA,NA,"sqroot","none","consumption"
"5","crop",5,943465.323229569,188693.064645914,4.87900833283606,0.000211564816401958,"sqroot","S0","consumption"
"6","year",3,48737.8408103924,16245.9469367975,0.420069018584164,0.738654824392031,"sqroot","S0","consumption"
"7","interaction(reg.imp, reg.exp)",35,11337692.3421866,323934.066919616,8.37591468852379,7.13591562660366e-35,"sqroot","S0","consumption"
"8","Residuals",759,29353923.2352569,38674.4706656877,NA,NA,"sqroot","S0","consumption"
"9","crop",5,1336258.30808091,267251.661616182,19.5062741912771,2.63548331368246e-18,"sqroot","S1","consumption"
"10","year",3,71050.4407440363,23683.4802480121,1.72861959670393,0.159652822891089,"sqroot","S1","consumption"
"11","interaction(reg.imp, reg.exp)",35,4983525.83888571,142386.452539592,10.3925609575794,1.6686600225996e-44,"sqroot","S1","consumption"
"12","Residuals",759,10398911.0979169,13700.8051355954,NA,NA,"sqroot","S1","consumption"
"13","crop",5,1578815.7107681,315763.14215362,24.5469382316513,5.879243282566e-23,"sqroot","S2","consumption"
"14","year",3,10831.1287845678,3610.37626152261,0.280665065847046,0.839377198268164,"sqroot","S2","consumption"
"15","interaction(reg.imp, reg.exp)",35,3164620.07661437,90417.7164746964,7.02893341576755,3.10106837431339e-28,"sqroot","S2","consumption"
"16","Residuals",759,9763507.88162937,12863.6467478648,NA,NA,"sqroot","S2","consumption"
"17","crop",5,1418397.5356405,283679.507128099,20.4508681183263,3.47674051486472e-19,"sqroot","S3","consumption"
"18","year",3,72479.948543369,24159.9828477897,1.74172829036275,0.15700251097123,"sqroot","S3","consumption"
"19","interaction(reg.imp, reg.exp)",35,4435404.06050381,126725.830300109,9.13584935651566,1.50595211814839e-38,"sqroot","S3","consumption"
"20","Residuals",759,10528293.6970916,13871.2696931379,NA,NA,"sqroot","S3","consumption"
"21","crop",5,1357050.08591846,271410.017183692,78.1896419162331,3.73379611554242e-66,"sqroot","none","price"
"22","year",3,1582932.30284683,527644.100948942,152.007297816454,3.82581468048032e-77,"sqroot","none","price"
"23","interaction(reg.imp, reg.exp)",35,2553057.62616622,72944.5036047492,21.0143482388586,1.13953358999946e-88,"sqroot","none","price"
"24","Residuals",759,2634622.66860254,3471.17611146579,NA,NA,"sqroot","none","price"
"25","crop",5,567230.20586834,113446.041173668,68.0757640974343,8.38854719079686e-59,"sqroot","S0","price"
"26","year",3,2105.34468264355,701.781560881183,0.421119287127364,0.737904229724885,"sqroot","S0","price"
"27","interaction(reg.imp, reg.exp)",35,147027.600596366,4200.78858846761,2.52077454632319,4.44157597186962e-06,"sqroot","S0","price"
"28","Residuals",759,1264848.7518638,1666.46739375994,NA,NA,"sqroot","S0","price"
"29","crop",5,581850.045442989,116370.009088598,74.2592530703976,2.45974340396089e-63,"sqroot","S1","price"
"30","year",3,6436.68482703967,2145.56160901322,1.36914832051391,0.250963508120807,"sqroot","S1","price"
"31","interaction(reg.imp, reg.exp)",35,151157.781465745,4318.79375616415,2.75595405559929,4.02115032193124e-07,"sqroot","S1","price"
"32","Residuals",759,1189411.86783166,1567.07755972551,NA,NA,"sqroot","S1","price"
"33","crop",5,622579.49188134,124515.898376268,79.2635913804451,6.45858232455711e-67,"sqroot","S2","price"
"34","year",3,4143.93720524394,1381.31240174798,0.879307648329676,0.451372256275215,"sqroot","S2","price"
"35","interaction(reg.imp, reg.exp)",35,267224.066457076,7634.97332734503,4.8602259945194,2.41841904366064e-17,"sqroot","S2","price"
"36","Residuals",759,1192320.02009567,1570.9091173856,NA,NA,"sqroot","S2","price"
"37","crop",5,594677.335322457,118935.467064491,72.3139452833968,6.36413103417357e-62,"sqroot","S3","price"
